word,tag
Appui,1
marché,1
meilleure,1
membres,1
mission,1
mobiles,1
monde,1
moyennes,1
novatrices,1
objectifs,1
offrons,1
optimisation,1
organisations,1
par,1
passionnée,1
personnel,1
l'information,1
l'emploi,1
l'accès,1
investissements,1
financier,1
financière,1
financières,1
êtes,1
fonctions,1
fournir,1
futur,1
personnes,1
gamme,1
grandes,1
grâce,1
importe,1
industrie,1
initiatives,1
intention,1
interne,1
gouvernement,1
finances,1
petites,1
portefeuille,1
soumettre,1
surveillance,1
talents,1
technologies,1
très,1
télécommunications,1
utilisée,1
valeurs,1
valorisés,1
vue,1
économiques,1
égard,1
élaborer,1
énergie,1
étroitement,1
solutions,1
simpleMD,1
service,1
sein,1
position,1
possibilités,1
premières,1
prendre,1
produits,1
propres,1
prévisions,1
plans,1
qu'elles,1
rapport,1
requièrent,1
respectés,1
ressources,1
revenu,1
se,1
secteur,1
que,1
filaires,1
fonction,1
collabore,1
connaissances,1
condition,1
concentre,1
comprendre,1
complète,1
comme,1
collectivités,1
externe,1
ciblés,1
changer,1
ce,1
canadien,1
bilan,1
bien,1
avons,1
avec,1
aux,1
Temps,1
Télé,1
Votre,1
Production,1
actionnaires,1
affaires,1
consiste,1
aident,1
Peu,1
allocation,1
améliorer,1
analyses,1
appuyer,1
aptitudes,1
aider,1
continuum,1
concurrentiels,1
contribution,1
expérience,1
exemple,1
CA-BC-Vancouver,1
envie,1
entreprises,1
entreprise,1
engagements,1
emploi,1
désir,1
CA-ON-Toronto,1
domaine,1
diversité,1
contribuent,1
dirigeants,1
Conformément,1
disposons,1
créer,1
contrôle,1
croissance,1
OPTIKMC,1
Nous,1
croyons,1
Le,1
Solutions,1
d'emploi,1
Internet,1
dont,2
sur,2
chef,2
sommes,2
file,2
information,2
financiers,2
centre,2
une,2
Notre,2
dans,2
passion,2
décisions,2
avez,2
performantes,2
Canada,3
Santé,3
faites,3
santé,3
le,3
d,3
du,3
et,3
services,4
la,4
gestion,5
clients,6
l,6
équipe,6
les,7
TELUS,9
à,15
des,15
’,15
